"x","y","type"
18,0.5862,"defect (DD)"
19,0.56725,"defect (DD)"
20,0.54795,"defect (DD)"
21,0.5293,"defect (DD)"
22,0.51335,"defect (DD)"
23,0.4978,"defect (DD)"
24,0.48265,"defect (DD)"
25,0.4676,"defect (DD)"
26,0.45515,"defect (DD)"
27,0.44305,"defect (DD)"
28,0.43105,"defect (DD)"
29,0.42015,"defect (DD)"
30,0.4093,"defect (DD)"
31,0.39735,"defect (DD)"
32,0.3882,"defect (DD)"
33,0.37945,"defect (DD)"
34,0.37055,"defect (DD)"
35,0.3633,"defect (DD)"
36,0.3548,"defect (DD)"
37,0.3453,"defect (DD)"
38,0.3372,"defect (DD)"
39,0.3297,"defect (DD)"
40,0.3221,"defect (DD)"
41,0.31575,"defect (DD)"
42,0.3091,"defect (DD)"
43,0.30345,"defect (DD)"
44,0.29785,"defect (DD)"
45,0.2908,"defect (DD)"
46,0.2841,"defect (DD)"
47,0.27885,"defect (DD)"
48,0.2719,"defect (DD)"
49,0.26425,"defect (DD)"
50,0.25485,"defect (DD)"
2,1,"no exchange"
3,0.90905,"no exchange"
4,0.8268,"no exchange"
5,0.7594,"no exchange"
6,0.70385,"no exchange"
7,0.65795,"no exchange"
8,0.61955,"no exchange"
9,0.58425,"no exchange"
10,0.5569,"no exchange"
11,0.5313,"no exchange"
12,0.5102,"no exchange"
13,0.4899,"no exchange"
14,0.4703,"no exchange"
15,0.45515,"no exchange"
16,0.44045,"no exchange"
17,0.4279,"no exchange"
18,0.4158,"no exchange"
19,0.40295,"no exchange"
20,0.39235,"no exchange"
21,0.3812,"no exchange"
22,0.37155,"no exchange"
23,0.36285,"no exchange"
24,0.3542,"no exchange"
25,0.34765,"no exchange"
26,0.34015,"no exchange"
27,0.33275,"no exchange"
28,0.32565,"no exchange"
29,0.31855,"no exchange"
30,0.31195,"no exchange"
31,0.3056,"no exchange"
32,0.29985,"no exchange"
33,0.29505,"no exchange"
34,0.29005,"no exchange"
35,0.2852,"no exchange"
36,0.28095,"no exchange"
37,0.2756,"no exchange"
38,0.27135,"no exchange"
39,0.26715,"no exchange"
40,0.26375,"no exchange"
41,0.2594,"no exchange"
42,0.25555,"no exchange"
43,0.25195,"no exchange"
44,0.24835,"no exchange"
45,0.2454,"no exchange"
46,0.2417,"no exchange"
47,0.2386,"no exchange"
48,0.23505,"no exchange"
49,0.2317,"no exchange"
50,0.22875,"no exchange"
